evacuationTime,averageReactionTime,wrongDecisions,correctDecisions,safetyViolations,hazardsDetected,hazardsIgnored,victimsRescued,objectivesCompleted,performanceScore
262.2516641775758,2.666196359547577,3,3,2,6,7,7,2,70.01
573.3857254613547,5.877108526405223,6,4,5,6,7,0,1,0.0
455.2767285781587,8.856512522887675,2,7,2,0,6,1,9,50.63
383.2755814663998,7.590023977686051,6,13,1,5,4,7,6,85.04
144.2500658389157,8.259050330753048,3,3,0,8,6,8,8,100.0
144.23704098154943,6.929050300396456,5,9,0,1,4,3,0,62.48
91.36515057082771,7.230489080660672,7,8,5,2,5,9,2,36.52
527.735118718465,8.642760864087872,1,4,0,9,1,9,4,100.0
384.6021063413327,3.2470120797326736,7,13,2,4,2,8,2,78.04
442.35919200986456,5.404824672788264,7,1,3,8,4,3,0,16.86
71.11562691973332,2.99088497637642,5,1,2,3,6,9,6,73.58
583.7513201674769,9.889012071969823,6,1,3,0,6,9,6,26.1
509.5190260322277,9.49653405717952,1,1,1,3,0,9,9,100.0
174.66311976626912,1.354841302316553,0,8,4,5,6,8,7,100.0
158.18548229183432,7.350176552641196,4,3,3,4,1,6,4,74.21
159.03843532085426,9.327234856740992,5,6,0,0,3,1,9,79.65
224.29081119815038,2.6251781061460018,3,3,2,3,3,8,4,92.11
343.3684730814084,6.111507074973665,0,11,1,5,6,3,4,89.15
293.2503100667425,9.239394678292376,4,5,0,9,0,7,0,99.14
217.26373570694264,1.3055138072721895,3,13,1,9,4,6,9,100.0
390.4005631500849,7.276782405221559,7,14,4,3,1,6,4,54.92
135.3266847521026,3.676141066352957,2,13,2,8,0,7,5,100.0
217.75811020901781,9.319565758388773,3,7,5,4,4,0,0,25.35
257.8353953785935,9.73952420648831,1,2,2,7,1,4,6,98.39
306.2777914771994,9.498398402020905,1,6,4,8,6,1,0,32.09
483.99501915222737,5.267927949917174,2,13,2,9,3,1,1,79.36
167.82384236551425,8.758383858903821,0,6,5,4,1,0,1,51.86
337.68659674335026,8.600944586815633,4,11,3,5,6,4,4,56.26
379.9038671855029,3.871904259189301,3,3,1,0,5,1,9,61.85
85.08322286879877,8.460239267356096,1,6,5,6,2,3,6,73.04
388.07422002677674,1.3330687124394336,0,10,0,3,1,2,0,100.0
152.08302679113743,6.366428906338477,2,10,4,1,2,2,9,84.9
